Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 5 for remote forward to localhost:3000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://yjhsf-2401-4900-1f3a-13ce-3b5-6d9f-bff-340b.run.pinggy-free.link
https://yjhsf-2401-4900-1f3a-13ce-3b5-6d9f-bff-340b.run.pinggy-free.link
connect_to localhost port 3000: failed.

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 606, SB: 0, TC: 1, AC: 1               
RB: 606, SB: 0, TC: 1, AC: 1               
RB: 606, SB: 0, TC: 1, AC: 0               
RB: 606, SB: 0, TC: 2, AC: 1               
RB: 606, SB: 1525, TC: 1, AC: 1               
RB: 606, SB: 1525, TC: 1, AC: 1               
RB: 1179, SB: 1525, TC: 2, AC: 2               
RB: 1179, SB: 1525, TC: 2, AC: 2               
RB: 1179, SB: 1525, TC: 2, AC: 1               
RB: 1179, SB: 1525, TC: 3, AC: 2               
RB: 1179, SB: 3045, TC: 2, AC: 2               
RB: 1179, SB: 3045, TC: 2, AC: 2               
RB: 1895, SB: 3045, TC: 3, AC: 2               
RB: 1895, SB: 3045, TC: 3, AC: 2               
RB: 1895, SB: 3045, TC: 3, AC: 1               
RB: 1895, SB: 3045, TC: 4, AC: 2               
RB: 1895, SB: 3045, TC: 4, AC: 2               
RB: 1895, SB: 4137, TC: 4, AC: 3               
RB: 1895, SB: 4137, TC: 4, AC: 3               
RB: 1895, SB: 4137, TC: 4, AC: 2               
RB: 1895, SB: 4137, TC: 5, AC: 3               
RB: 2458, SB: 5227, TC: 4, AC: 2               
RB: 2458, SB: 5227, TC: 4, AC: 2               
RB: 2458, SB: 5227, TC: 4, AC: 2               
RB: 2458, SB: 5227, TC: 4, AC: 1               
RB: 2458, SB: 5227, TC: 5, AC: 2               
RB: 2939, SB: 6301, TC: 5, AC: 3               
RB: 2939, SB: 6301, TC: 5, AC: 3               
